Name                                         Stars  OpenIssues  Updated                      Description
mizlan/iswap.nvim                            436    12          2023-06-18T15:25:16Z         Interactively select and swap function arguments, list elements, and much more. Powered by tree-sitter.                                                                                                                            
Pocco81/AutoSave.nvim                        434    25          2022-11-01T19:12:23Z         🧶 Automatically save your changes in NeoVim
rafcamlet/nvim-luapad                        434    3           2022-12-11T14:34:28Z         Interactive real time neovim scratchpad for embedded lua engine - type and watch!                                                                                                                                                  
Mofiqul/dracula.nvim                         433    16          2023-07-13T12:21:47Z         Dracula colorscheme for neovim written in Lua
hkupty/nvimux                                429    4           2022-05-02T09:03:56Z         Neovim as a TMUX replacement
folke/lsp-colors.nvim                        425    4           2023-02-27T12:30:08Z         🌈  Plugin that creates missing LSP diagnostics highlight groups for color schemes that don't yet support the Neovim 0.5 builtin LSP client.                                                                                        
NvChad/nvim-colorizer.lua                    424    21          2023-02-27T10:31:48Z         Maintained fork of the fastest Neovim colorizer
ldelossa/gh.nvim                             424    20          2023-04-26T15:13:18Z         A fully featured GitHub integration for performing code reviews in Neovim.                                                                                                                                                         
sunjon/Shade.nvim                            417    31          2022-02-01T05:54:26Z         An Nvim lua plugin that dims your inactive windows
DNLHC/glance.nvim                            415    6           2023-06-12T02:49:04Z         A pretty window for previewing, navigating and editing your LSP locations
RishabhRD/nvim-lsputils                      415    16          2022-01-29T11:33:35Z         Better defaults for nvim-lsp actions
terrortylor/nvim-comment                     413    9           2022-08-09T21:56:40Z         A comment toggler for Neovim, written in Lua
Bekaboo/dropbar.nvim                         412    6           2023-07-10T16:15:43Z         IDE-like breadcrumbs, out of the box
b0o/incline.nvim                             409    7           2023-02-09T01:30:10Z         🎈 Floating statuslines for Neovim
camspiers/snap                               401    34          2022-08-03T23:10:13Z         A fast finder system for neovim.                                                                                                                                                                                                   
anuvyklack/windows.nvim                      399    17          2023-01-16T22:16:26Z         Automatically expand width of the current window. Maximizes and restore it. And all this with nice animations!                                                                                                                     
windwp/windline.nvim                         399    0           2023-04-14T11:25:19Z         Animation statusline, floating window statusline. Use lua + luv make some wind
notomo/gesture.nvim                          396    0           2023-06-25T01:04:37Z         Mouse gesture plugin for neovim
elihunter173/dirbuf.nvim                     394    19          2022-08-28T18:51:30Z         A file manager for Neovim which lets you edit your filesystem like you edit text
rmehri01/onenord.nvim                        393    0           2023-06-26T20:38:36Z         🏔️ A Neovim theme that combines the Nord and Atom One Dark color palettes for a more vibrant programming experience.                                                                                                               
dstein64/nvim-scrollview                     392    5           2023-07-12T20:54:52Z         A Neovim plugin that displays interactive vertical scrollbars and signs.                                                                                                                                                           
oberblastmeister/neuron.nvim                 392    21          2022-02-27T00:34:45Z         Make neovim the best note taking application
RRethy/nvim-treesitter-textsubjects          391    5           2023-02-11T19:44:53Z         Location and syntax aware text objects which *do what you mean*                                                                                                                                                                    
toppair/peek.nvim                            388    21          2023-04-01T16:34:55Z         Markdown preview plugin for Neovim
Pocco81/DAPInstall.nvim                      388    25          2022-04-20T03:59:55Z         🐞 Debug Adapter Protocol manager for Neovim
ziontee113/syntax-tree-surfer                385    3           2023-06-29T23:24:14Z         A plugin for Neovim that helps you surf through your document and move elements around using the nvim-treesitter API.                                                                                                              
nanozuki/tabby.nvim                          382    5           2023-05-11T07:09:44Z         A declarative, highly configurable, and neovim style tabline plugin. Use your nvim tabs as a workspace multiplexer!                                                                                                                
ruifm/gitlinker.nvim                         382    31          2023-02-03T09:02:34Z         A lua neovim plugin to generate shareable file permalinks (with line ranges) for several git web frontend hosts. Inspired by tpope/vim-fugitive's :GBrowse
RRethy/nvim-base16                           376    5           2023-05-13T01:50:58Z         Neovim plugin for building a sync base16 colorscheme. Includes support for Treesitter and LSP highlight groups.                                                                                                                    
max397574/better-escape.nvim                 373    3           2023-05-02T16:16:47Z         Escape from insert mode without delay when typing
